Blast,Hole ID,StartX,StartY,StartZ,EndX,EndY,EndZ,Burden,Spacing,Diameter,Length,Angle,Bearing,Subdrill,Time,Measured Length,Measured Mass
S4_226_401_V1,186,478325.068,6772176.203,238.240,478325.068,6772176.203,224.940,3.6,3,165,13.3,0,0,0,1526,13.3,243
S4_226_401_V1,187,478327.300,6772178.207,238.244,478327.300,6772178.207,225.244,3.6,3,165,13,0,0,0,1580,13,233
S4_226_401_V1,188,478329.533,6772180.211,238.188,478329.533,6772180.211,225.588,3.6,3,165,12.6,0,0,0,1634,12.6,223
S4_226_401_V1,189,478331.765,6772182.214,238.290,478331.765,6772182.214,225.890,3.6,3,165,12.4,0,0,0,1708,12.4,218
S4_226_401_V1,190,478310.576,6772201.881,238.541,478310.576,6772201.881,225.741,3.6,3,165,12.8,0,0,0,1751,12.8,228
S4_226_401_V1,191,478308.230,6772199.864,238.458,478308.230,6772199.864,225.558,3.6,3,165,12.9,0,0,0,1676,12.9,231
S4_226_401_V1,192,478306.159,6772197.820,238.672,478306.159,6772197.820,225.272,3.6,3,165,13.4,0,0,0,1622,13.4,245
S4_226_401_V1,193,478303.950,6772195.790,238.776,478303.950,6772195.790,224.976,3.6,3,165,13.8,0,0,0,1568,13.8,255
S4_226_401_V1,194,478301.742,6772193.759,239.073,478301.742,6772193.759,224.773,3.6,3,165,14.3,0,0,0,1513,14.3,270
S4_226_401_V1,195,478299.523,6772191.740,239.056,478299.523,6772191.740,224.456,3.6,3,165,14.6,0,0,0,1459,14.6,278
S4_226_401_V1,196,478297.292,6772189.735,238.590,478297.292,6772189.735,224.190,3.6,3,165,14.4,0,0,0,1405,14.4,273
S4_226_401_V1,197,478295.061,6772187.729,238.340,478295.061,6772187.729,223.840,3.6,3,165,14.5,0,0,0,1351,14.5,275
S4_226_401_V1,198,478292.830,6772185.723,238.153,478292.830,6772185.723,223.553,3.6,3,165,14.6,0,0,0,1297,14.6,278
S4_226_401_V1,199,478290.599,6772183.717,238.126,478290.599,6772183.717,223.226,3.6,3,165,14.9,0,0,0,1243,14.9,285
S4_226_401_V1,200,478288.368,6772181.711,238.054,478288.368,6772181.711,222.954,3.6,3,165,15.1,0,0,0,1233,15.1,291
S4_226_401_V1,201,478286.138,6772179.705,238.098,478286.138,6772179.705,222.698,3.6,3,165,15.4,0,0,0,1287,15.4,301
