Layer Name,Hole Name,Collar X,Collar Y,Collar Z,Burden,Spacing,Dip,Bearing,Diameter,Drill Length,Subdrill,Toe X,Toe Y,Toe Z
S5_346_516_V2,139,478760.065,6772603.869,358.045,4.7,5.4,90,46.241,0.229,13.5,1.5,478760.065,6772603.87,344.5
S5_346_516_V2,140,478763.8,6772599.969,357.904,4.7,5.4,90,46.241,0.229,13.4,1.5,478763.8,6772599.97,344.5
S5_346_516_V2,141,478767.535,6772596.069,357.773,4.7,5.4,90,46.241,0.229,13.3,1.5,478767.535,6772596.07,344.5
S5_346_516_V2,142,478771.259,6772592.198,357.736,4.7,5.4,90,46.241,0.229,13.2,1.5,478771.259,6772592.2,344.5
S5_346_516_V2,143,478775.004,6772588.269,357.675,4.7,5.4,90,46.241,0.229,13.2,1.5,478775.004,6772588.27,344.5
S5_346_516_V2,144,478778.739,6772584.368,357.621,4.7,5.4,90,46.241,0.229,13.1,1.5,478778.739,6772584.37,344.5
S5_346_516_V2,145,478782.136,6772580.856,357.778,4.7,5.4,90,46.241,0.229,13.3,1.5,478782.136,6772580.86,344.5
S5_346_516_V2,146,478785.388,6772577.38,357.826,4.7,5.4,90,51.869,0.229,13.3,1.5,478785.388,6772577.38,344.5
S5_346_516_V2,147,478788.503,6772573.698,357.852,4.7,5.4,90,51.869,0.229,13.4,1.5,478788.503,6772573.7,344.5
S5_346_516_V2,148,478791.636,6772570.045,357.933,4.7,5.4,90,51.869,0.229,13.4,1.5,478791.636,6772570.05,344.5
S5_346_516_V2,149,478794.97,6772565.797,357.957,4.7,5.4,90,51.869,0.229,13.5,1.5,478794.97,6772565.8,344.5
S5_346_516_V2,150,478798.304,6772561.55,357.999,4.7,5.4,90,51.869,0.229,13.5,1.5,478798.304,6772561.55,344.5
S5_346_516_V2,151,478801.639,6772557.302,357.993,4.7,5.4,90,51.869,0.229,13.5,1.5,478801.639,6772557.3,344.5
S5_346_516_V2,152,478804.973,6772553.055,357.905,4.7,5.4,90,51.869,0.229,13.4,1.5,478804.973,6772553.05,344.5
S5_346_516_V2,153,478809.354,6772551.24,357.839,4.7,5.4,90,140,0.229,13.3,1.5,478809.354,6772551.24,344.5
S5_346_516_V2,154,478806.695,6772548.954,357.862,4.7,5.4,90,127.568,0.229,13.4,1.5,478806.695,6772548.95,344.5
S5_346_516_V2,155,478802.943,6772548.029,357.975,4.7,5.4,90,51.869,0.229,13.5,1.5,478802.943,6772548.03,344.5
S5_346_516_V2,156,478799.609,6772552.276,358.007,4.7,5.4,90,51.869,0.229,13.5,1.5,478799.609,6772552.28,344.5
S5_346_516_V2,157,478796.275,6772556.524,357.982,4.7,5.4,90,51.869,0.229,13.5,1.5,478796.275,6772556.52,344.5
S5_346_516_V2,158,478792.94,6772560.772,357.952,4.7,5.4,90,51.869,0.229,13.5,1.5,478792.94,6772560.77,344.5
S5_346_516_V2,159,478789.606,6772565.019,357.933,4.7,5.4,90,51.869,0.229,13.4,1.5,478789.606,6772565.02,344.5
S5_346_516_V2,160,478786.611,6772568.674,357.88,4.7,5.4,90,51.869,0.229,13.4,1.5,478786.611,6772568.67,344.5
S5_346_516_V2,161,478783.609,6772572.267,357.859,4.7,5.4,90,51.869,0.229,13.4,1.5,478783.609,6772572.27,344.5
S5_346_516_V2,162,478780.412,6772575.757,357.787,4.7,5.4,90,46.241,0.229,13.3,1.5,478780.412,6772575.76,344.5
S5_346_516_V2,163,478777.212,6772579.168,357.724,4.7,5.4,90,46.241,0.229,13.2,1.5,478777.212,6772579.17,344.5
S5_346_516_V2,164,478773.477,6772583.068,357.703,4.7,5.4,90,46.241,0.229,13.2,1.5,478773.477,6772583.07,344.5
S5_346_516_V2,165,478769.743,6772587.133,357.755,4.7,5.4,90,46.241,0.229,13.3,1.5,478769.743,6772587.13,344.5
S5_346_516_V2,166,478765.986,6772590.887,357.828,4.7,5.4,90,46.241,0.229,13.3,1.5,478765.986,6772590.89,344.5
S5_346_516_V2,167,478762.273,6772594.768,357.869,4.7,5.4,90,46.241,0.229,13.4,1.5,478762.273,6772594.77,344.5
S5_346_516_V2,168,478758.538,6772598.669,357.962,4.7,5.4,90,46.241,0.229,13.5,1.5,478758.538,6772598.67,344.5
S5_346_516_V2,169,478758.3,6772601.632,358.011,4.7,5.4,75,285,0.229,14,1.5,478754.803,6772602.57,344.5
S5_346_516_V2,170,478756.758,6772596.435,357.952,4.7,5.4,75,285,0.229,13.9,1.5,478753.276,6772597.37,344.5
S5_346_516_V2,171,478756.945,6772593.449,357.921,4.7,5.4,90,46.241,0.229,13.4,1.5,478756.945,6772593.45,344.5
S5_346_516_V2,172,478760.456,6772589.41,357.868,4.7,5.4,90,46.241,0.229,13.4,1.5,478760.456,6772589.41,344.5
S5_346_516_V2,173,478763.851,6772586.155,357.84,4.7,5.4,90,46.241,0.229,13.3,1.5,478763.851,6772586.16,344.5
S5_346_516_V2,174,478768.676,6772581.834,357.741,4.7,5.4,90,46.241,0.229,13.2,1.5,478768.676,6772581.83,344.5
S5_346_516_V2,175,478772.124,6772577.913,357.664,4.7,5.4,90,46.241,0.229,13.2,1.5,478772.124,6772577.91,344.5
S5_346_516_V2,176,478775.192,6772574.528,357.694,4.7,5.4,90,46.241,0.229,13.2,1.5,478775.192,6772574.53,344.5
S5_346_516_V2,177,478778.296,6772571.228,357.711,4.7,5.4,90,51.869,0.229,13.2,1.5,478778.296,6772571.23,344.5
S5_346_516_V2,178,478781.292,6772567.74,357.726,4.7,5.4,90,51.869,0.229,13.2,1.5,478781.292,6772567.74,344.5
S5_346_516_V2,179,478784.242,6772564.241,357.838,4.7,5.4,90,51.869,0.229,13.3,1.5,478784.242,6772564.24,344.5
S5_346_516_V2,180,478787.576,6772559.993,357.924,4.7,5.4,90,51.869,0.229,13.4,1.5,478787.576,6772559.99,344.5
S5_346_516_V2,181,478790.91,6772555.746,357.973,4.7,5.4,90,51.869,0.229,13.5,1.5,478790.91,6772555.75,344.5
S5_346_516_V2,182,478794.245,6772551.498,358.033,4.7,5.4,90,51.869,0.229,13.5,1.5,478794.245,6772551.5,344.5
S5_346_516_V2,183,478797.579,6772547.25,357.969,4.7,5.4,90,51.869,0.229,13.5,1.5,478797.579,6772547.25,344.5
S5_346_516_V2,184,478800.913,6772543.003,357.914,4.7,5.4,90,51.869,0.229,13.4,1.5,478800.913,6772543,344.5
S5_346_516_V2,185,478804.391,6772544.092,357.869,4.7,5.4,90,110,0.229,13.4,1.5,478804.391,6772544.09,344.5
S5_346_516_V2,186,478802.386,6772539.515,357.818,4.7,5.4,90,110,0.229,13.3,1.5,478802.386,6772539.51,344.5
S5_346_516_V2,187,478798.674,6772538.082,358,4.7,5.4,90,51.869,0.229,13.5,1.5,478798.674,6772538.08,344.5
S5_346_516_V2,188,478795.549,6772542.225,357.945,4.7,5.4,90,51.869,0.229,13.4,1.5,478795.549,6772542.22,344.5
S5_346_516_V2,189,478792.215,6772546.472,358.01,4.7,5.4,90,51.869,0.229,13.5,1.5,478792.215,6772546.47,344.5
S5_346_516_V2,190,478788.881,6772550.72,358.001,4.7,5.4,90,51.869,0.229,13.5,1.5,478788.881,6772550.72,344.5
S5_346_516_V2,191,478785.546,6772554.967,357.98,4.7,5.4,90,51.869,0.229,13.5,1.5,478785.546,6772554.97,344.5
S5_346_516_V2,192,478782.548,6772558.684,357.872,4.7,5.4,90,51.869,0.229,13.4,1.5,478782.548,6772558.68,344.5
